Plot,N_sensitive,N_oligo,N_For,N_Cyan,spp_rich
2219,11,9,3,0,19
2220,10,10,4,0,14
2222,6,6,2,0,10
2223,18,16,9,7,34
2225,10,11,2,4,19
2227,19,17,5,6,30
2229,11,16,7,3,27
2231,10,11,6,0,16
2232,14,9,5,0,21
2234,12,10,6,0,17
2235,16,17,11,0,27
2236,19,18,7,1,31
2237,15,14,10,0,25
2239,11,7,6,0,19
2241,10,12,5,1,21
2243,7,10,3,0,16
2245,8,11,6,0,20
2246,12,9,7,0,24
2247,19,19,7,8,35
2248,14,9,5,1,26
2250,13,11,6,0,22
2251,15,15,7,0,27
2253,7,9,4,0,18
2255,18,14,9,0,28
2257,13,12,6,0,18
2259,15,14,8,0,17
2260,16,17,8,1,29
2261,10,11,5,0,20
2263,3,4,4,0,11
2265,14,13,3,7,27
2267,9,8,4,0,16
2269,9,8,4,0,16
2271,12,10,5,2,19
2272,17,14,7,0,25
2274,10,12,5,0,19
2276,14,13,8,0,17
2279,14,13,8,0,20
2282,10,8,5,0,15
2283,7,8,4,0,15
2284,14,12,6,0,23
2285,4,2,2,0,6
2287,8,8,5,0,16
2288,12,14,7,0,21
2289,11,9,4,0,18
2291,8,9,4,0,12
2294,10,15,5,7,24
2296,10,12,5,0,23
2297,14,11,6,0,23
2298,9,10,4,0,14
2299,13,13,8,1,26
2301,13,10,4,0,19
2302,13,12,4,1,22
2303,21,21,9,9,35
2304,10,9,4,0,14
2305,15,13,8,1,27
2306,9,13,6,1,20
2307,15,12,8,0,26
2308,12,11,4,0,19
2310,12,17,6,4,26
2311,12,13,6,0,25
2312,17,17,6,6,28
2313,16,9,10,2,27
2315,21,13,8,5,32
2316,11,10,6,2,22
2317,12,15,4,9,27
2318,10,9,3,0,16
2319,10,12,6,2,18
2321,8,10,3,0,16
2322,11,10,8,1,24
2324,15,12,5,9,27
2325,7,6,3,0,14
2327,6,6,4,0,10
2328,6,4,3,0,8
2329,13,13,7,0,20
2330,12,13,7,0,21
2331,9,7,4,0,13
2333,11,10,5,0,21
2334,13,7,5,2,21
2336,12,8,5,0,16
2337,11,9,4,0,14
2339,10,12,6,0,21
2340,11,11,8,0,20
2341,15,13,7,1,25
2342,7,7,6,0,13
2344,11,11,5,0,18
2345,11,7,3,2,19
2346,7,4,3,0,13
2347,8,9,5,0,15
2349,16,16,7,1,25
2350,10,9,4,0,19
2352,23,19,13,1,37
2354,9,10,5,0,16
2355,14,13,5,2,24
2356,11,11,4,0,16
2357,9,8,4,0,18
2358,11,13,7,2,21
2359,14,12,5,0,20
2360,14,12,6,0,22
2361,12,12,5,0,18
2362,16,10,8,2,26
2364,12,8,6,0,17
2365,4,6,2,0,8
2366,10,13,5,0,16
2367,11,8,4,2,21
2368,13,12,9,1,26
2370,13,14,8,1,24
2372,10,9,3,0,15
2373,12,10,5,0,19
2374,7,7,2,0,13
2375,8,9,4,0,16
2376,11,12,8,0,15
2378,20,22,10,1,31
2382,10,11,5,0,17
2385,8,10,3,0,15
2387,7,9,4,1,18
2394,14,15,8,0,17
2395,14,14,8,1,16
2400,8,10,5,1,19
2402,13,12,5,0,19
2403,9,10,2,2,19
2409,14,14,5,2,21
2410,8,8,5,0,9
2412,8,11,5,0,15
2413,9,10,6,0,10
2414,16,15,8,0,26
2416,11,15,2,8,24
2418,15,18,10,0,23
2422,14,14,7,0,21
2426,12,13,8,0,14
2432,11,11,5,0,15
2434,6,7,3,0,9
2435,15,18,7,1,25
2438,17,18,10,0,23
2439,7,7,4,0,7
2440,20,22,11,1,36
2441,12,11,5,0,20
2446,12,14,7,1,23
2447,10,11,5,1,19
2449,14,14,6,1,18
2450,7,5,3,0,12
2452,6,7,3,0,10
2453,9,8,4,0,14
2454,10,9,4,1,19
2455,15,9,6,0,24
2456,7,6,2,0,12
2458,7,8,4,0,15
2459,10,11,3,2,22
2461,7,5,3,0,11
2462,11,8,8,0,23
2463,11,10,6,1,24
2464,7,6,3,0,12
2467,9,7,5,0,10
2468,6,6,3,1,6
2471,7,7,4,0,9
2472,8,8,5,0,16
2473,6,6,3,0,7
2474,11,8,7,1,15
2475,7,8,4,0,9
2476,13,10,7,1,19
2477,9,8,7,0,11
2479,7,7,4,0,7
2480,3,3,2,0,6
2482,4,3,2,0,5
2483,13,11,8,1,23
2484,18,14,7,5,33
2485,13,10,7,1,26
2486,15,14,8,1,20
2487,14,13,9,0,19
2488,13,13,6,1,15
2489,14,14,8,1,22
2490,12,13,7,0,15
2491,8,10,6,0,14
2492,8,10,7,0,12
2493,9,9,4,1,13
2494,15,15,8,1,24
2495,12,12,6,1,23
2496,5,5,3,0,5
2497,11,11,6,0,13
2498,5,6,5,0,6
2499,8,8,5,0,9
2504,11,10,6,0,19
2506,9,8,5,1,10
2508,10,10,5,0,11
2510,15,15,9,0,26
2511,12,13,8,1,17
2515,12,9,6,1,17
2516,18,8,6,0,26
2517,16,14,8,1,27
2519,9,11,8,1,11
2522,10,9,6,5,22
2524,16,17,2,11,29
2525,10,8,5,0,11
2527,22,18,8,6,36
2530,18,16,5,5,26
2534,19,16,7,11,32
2536,16,15,7,1,27
2538,20,17,10,5,32
2540,17,16,10,0,22
2541,12,9,3,1,15
2543,13,13,9,1,13
2544,19,17,10,8,31
2546,19,19,7,7,31
2549,23,24,12,8,38
2552,12,8,2,1,17
2556,10,10,7,1,11
2557,15,17,7,5,23
2558,8,8,6,1,8
2561,14,14,8,0,20
2563,7,7,4,1,7
2564,14,16,8,1,18
2567,19,14,9,1,25
2568,8,8,4,1,10
2570,10,11,10,0,11
2572,11,9,5,1,14
2573,6,8,6,0,9
2580,23,18,10,9,39
2588,7,7,5,0,10
2591,10,11,9,1,11
2593,10,10,7,1,10
2596,11,13,6,0,19
2599,16,14,7,0,27
2601,14,14,9,1,16
2604,18,13,6,6,27
2607,9,5,8,0,16
2609,14,15,7,0,27
2611,6,2,3,1,13
2612,14,17,10,0,20
2615,23,16,8,11,35
2623,9,7,4,1,14
2627,20,17,10,1,29
2628,18,13,11,2,29
2630,13,14,6,0,22
2632,13,7,5,0,24
2634,15,15,4,7,25
2635,11,12,6,0,14
2640,16,14,5,11,32
2649,28,25,14,13,49
2654,12,5,5,6,21
2655,15,13,8,0,21
2656,9,7,3,0,11
2657,18,16,8,1,27
2661,8,6,5,0,8
2662,15,12,5,9,26
2667,15,5,7,2,30
2669,13,10,4,0,20
2672,17,15,8,6,30
2674,11,11,6,0,18
2675,13,11,9,1,24
2678,15,12,7,1,26
2679,16,18,6,8,29
2682,12,8,5,1,22
2684,15,14,8,0,29
2688,17,13,7,0,24
2690,17,19,5,5,33
2693,6,3,5,0,15
2694,12,14,6,6,29
2697,19,14,9,9,33
2701,13,9,6,2,25
2708,14,14,8,0,18
2710,20,18,11,1,25
2713,9,8,6,0,10
2715,16,11,9,0,24
2717,8,8,4,1,14
2720,21,15,8,5,30
2723,15,9,8,0,23
2727,15,15,10,1,29
2742,14,14,8,0,21
2743,11,13,8,1,22
2746,15,13,7,0,28
2748,13,16,3,3,25
2749,12,10,5,0,18
2752,14,12,5,0,20
2753,15,13,8,0,17
2754,20,18,8,5,33
2756,15,11,8,0,26
2759,13,12,4,0,22
2762,5,8,5,0,12
2764,12,15,6,1,23
2765,7,9,6,0,17
2766,12,9,2,1,19
2768,10,10,5,0,11
2770,6,9,3,0,15
2776,6,7,3,0,15
2778,12,16,6,1,28
2780,8,9,4,0,14
2782,12,13,5,0,17
2784,16,15,11,1,27
2790,9,9,6,0,9
2791,14,14,7,1,22
2792,7,7,4,0,12
2802,15,14,8,0,16
2803,6,6,5,5,24
2810,4,4,4,5,25
2813,7,9,3,0,14
2814,17,9,8,3,26
2820,12,4,7,2,20
2827,17,12,8,8,31
2834,8,5,5,6,16
2841,21,10,9,9,32
2848,16,5,10,3,28
2855,25,17,7,14,44
2856,12,11,4,0,24
2859,1,0,3,0,11
2860,0,0,2,0,8
2865,12,7,5,4,30
2867,6,5,4,3,21
2869,5,1,2,3,20
2871,10,3,3,5,28
2875,14,6,5,10,33
2880,11,2,4,11,27
2883,17,9,3,12,37
2886,10,4,2,7,30
2889,2,0,2,0,10
2892,9,2,4,4,22
2895,12,3,3,2,24
2898,11,7,2,6,20
2901,2,0,1,0,9
2905,4,1,1,0,12
2915,7,1,2,4,22
2918,6,1,3,0,20
2922,7,2,2,6,27
2925,9,1,3,2,25
2928,13,4,4,5,25
2931,10,1,3,5,26
2933,9,2,4,4,22
2935,14,2,5,7,28
2956,3,0,1,3,15
2958,7,5,2,3,23
2960,2,0,1,0,13
2962,13,3,3,3,28
2966,11,4,9,4,24
2969,9,0,4,2,22
2971,9,4,4,3,27
2973,7,3,4,4,23
2976,16,6,3,10,39
2978,8,0,2,7,24
2981,8,5,4,1,25
2984,14,9,4,5,36
2987,3,1,2,0,18
2989,6,2,3,3,26
2994,11,4,7,2,26
2996,3,0,3,1,18
2998,10,1,4,5,26
3000,7,0,3,1,18
3003,5,1,4,0,17
3006,11,3,5,4,26
3008,12,1,5,1,22
3010,12,2,4,6,30
3012,10,3,5,1,22
3014,14,4,5,5,27
3016,10,3,3,1,25
3018,8,3,5,2,23
3025,9,10,7,2,24
3028,7,4,4,6,23
3032,10,8,3,3,25
3037,12,9,5,0,26
3038,3,1,1,0,17
3039,10,4,5,3,27
3040,1,1,3,0,15
3041,14,5,12,0,33
3042,9,4,5,6,27
3043,5,1,1,1,19
3044,3,1,3,2,13
3046,4,1,3,0,17
3047,9,9,4,1,18
3048,9,9,6,1,22
3049,4,1,2,0,14
3052,11,13,7,1,25
3053,17,18,11,1,27
3054,12,10,5,2,19
3056,16,17,8,0,25
3057,13,14,10,0,23
3058,13,13,9,0,22
3059,11,11,6,0,17
3060,11,12,6,0,17
3061,3,1,2,0,12
3064,11,13,5,0,18
3065,13,16,8,1,22
3066,7,8,4,1,15
3067,14,14,8,0,17
3068,3,1,2,0,11
3105,19,8,10,2,32
3106,13,1,6,3,25
3107,12,2,5,2,22
3108,2,2,2,0,8
3109,5,5,4,0,10
3112,8,5,2,1,17
3116,9,4,2,5,14
3119,8,4,4,1,17
3122,9,6,3,3,19
3125,14,14,6,1,20
3128,6,1,3,0,15
3131,10,7,3,5,19
3134,5,0,2,0,16
3137,2,0,2,0,13
3140,13,10,2,6,19
3146,6,2,2,0,14
3149,10,10,2,3,21
3151,16,14,2,9,24
3154,3,1,2,0,11
3157,0,0,2,0,8
3161,16,18,11,1,27
3164,4,1,0,0,9
3189,13,11,5,0,23
3190,6,3,4,0,17
3191,13,15,7,0,23
3192,12,14,7,0,22
3193,13,14,7,0,21
3194,16,16,9,1,27
3195,16,18,8,0,25
3196,12,12,6,1,20
3200,15,10,4,9,39
3201,9,5,1,1,14
3202,1,1,1,0,10
3203,2,1,3,0,9
3204,4,0,3,0,15
3205,2,0,0,0,11
3207,4,2,4,0,21
3222,10,0,4,3,23
3226,8,2,4,7,21
3230,8,1,5,3,22
3234,7,4,5,0,18
3239,9,5,4,6,22
3247,8,6,4,0,14
3250,9,3,3,1,21
3253,10,2,4,4,25
3256,19,8,9,7,41
3257,8,5,4,0,19
3258,9,5,4,1,19
3260,13,4,5,3,28
3262,7,2,2,0,15
3265,14,10,6,2,30
3267,6,1,3,0,12
3269,7,2,2,4,16
3270,6,1,1,0,12
3272,9,5,4,0,16
3274,13,6,4,4,22
3276,6,1,2,0,13
3278,8,2,4,0,16
3280,5,1,3,1,14
3281,9,5,2,8,21
3283,3,0,0,0,9
3284,7,5,3,1,14
3286,9,5,3,2,16
3288,11,5,3,8,22
3289,9,7,3,1,15
3291,4,1,1,0,9
3292,6,3,3,4,17
3294,7,6,4,3,17
3295,1,0,1,0,8
3296,3,0,1,1,10
3297,1,0,1,0,8
3298,7,7,4,1,16
3301,2,2,2,1,19
3302,3,1,1,0,11
3303,12,7,4,6,23
3304,3,1,2,0,8
3305,1,1,1,0,10
3309,4,2,3,0,15
3312,16,7,7,6,29
3314,16,5,8,1,31
3317,10,1,4,1,18
3319,14,4,2,6,24
3320,9,3,4,0,19
3322,12,3,7,0,25
3326,20,11,8,10,34
3329,21,12,12,3,35
3333,11,5,4,7,21
3336,6,6,2,0,12
3338,16,5,6,9,31
3341,14,5,7,0,27
3343,10,3,6,0,20
3345,15,6,9,2,31
3348,14,3,5,3,28
3351,5,1,1,0,10
3353,8,5,3,8,19
3356,8,5,5,0,16
3359,8,6,4,0,16
3361,4,1,1,0,9
3364,14,9,8,1,28
3366,7,4,3,0,14
3369,17,14,8,3,33
3371,3,1,2,1,13
3373,4,1,2,0,13
3375,1,0,1,0,7
3377,10,8,6,6,26
3379,7,4,3,0,17
3382,12,3,4,2,28
3419,11,8,7,1,16
3422,14,11,6,1,22
3423,8,4,6,5,23
3424,1,1,4,0,12
3425,15,13,7,1,21
3426,2,0,3,1,15
3427,1,1,0,0,9
3428,4,3,2,0,17
3430,8,8,5,1,14
3431,12,14,9,0,16
3432,14,16,8,0,23
3434,1,1,2,0,18
3435,7,0,4,3,22
3436,4,2,4,0,21
3437,3,0,3,2,20
3438,3,0,2,1,15
3439,12,2,8,0,23
3440,18,8,10,9,35
3441,1,0,3,0,13
3442,10,7,7,2,28
3443,9,3,4,2,23
3444,8,8,4,7,27
3445,7,2,2,1,21
3446,11,5,8,3,21
3447,15,10,8,1,29
3448,12,6,9,0,27
3451,10,5,6,0,20
3452,7,5,2,0,18
3454,18,6,9,6,35
3455,5,1,4,0,18
3457,9,4,5,0,22
3458,5,1,0,0,9
3461,9,4,6,0,24
3462,2,3,0,3,7
3463,5,0,5,0,21
3464,5,2,4,2,16
3465,2,0,3,0,13
3466,13,12,7,1,27
3469,14,6,8,10,29
3470,10,6,7,9,25
3471,10,8,3,3,15
3472,11,10,3,1,15
3473,4,7,2,1,14
3474,8,9,3,4,18
3475,11,10,4,0,14
3477,11,10,6,0,17
3479,4,2,5,5,21
3480,2,0,0,0,7
3494,5,4,2,1,11
3496,6,5,5,0,12
3498,15,6,6,7,30
3505,14,14,10,0,31
3506,16,16,5,9,31
3507,13,8,3,10,21
3508,16,12,3,12,27
3509,17,13,7,6,27
3510,18,11,6,8,26
3511,18,13,10,9,32
3551,17,18,8,0,25
3552,15,16,10,0,18
3553,1,1,2,0,16
3554,2,0,1,0,15
3560,9,9,5,0,15
3561,13,11,5,1,21
3562,11,10,3,1,16
3563,1,0,0,0,10
3564,8,2,5,2,24
3565,16,9,8,9,35
3566,1,0,3,0,6
3568,7,3,8,4,26
3569,11,5,6,3,26
3605,0,1,3,0,19
3606,6,0,7,3,23
3607,12,8,5,4,32
3608,13,12,8,0,17
3609,7,6,4,1,13
3610,9,8,4,0,12
3611,7,7,5,0,8
3612,9,9,5,0,10
3613,9,8,3,0,12
3614,7,6,4,0,9
3615,6,4,2,0,9
3616,9,6,1,1,11
3628,2,0,4,0,18
3629,0,1,1,0,8
3630,4,3,2,1,13
3631,10,9,4,1,20
3632,2,1,0,0,10
3634,6,1,3,2,19
3636,2,0,1,0,10
3637,10,3,2,4,21
3638,9,11,7,0,22
3640,1,0,0,0,8
3641,4,0,0,1,13
3644,0,0,0,0,8
3646,1,0,0,0,7
3647,15,12,7,1,22
3648,13,13,9,1,25
3649,12,9,3,1,25
3652,13,10,2,1,17
3653,9,10,4,1,17
3655,9,2,6,0,17
3656,2,0,0,0,11
3657,3,1,0,0,11
3658,4,0,0,1,12
3659,2,0,0,0,7
3660,9,9,8,0,21
3661,12,13,7,0,23
3662,13,14,6,1,16
3663,12,11,6,0,16
3664,15,17,9,0,22
3665,12,13,6,1,18
3666,6,4,3,0,17
3668,3,2,3,0,14
3669,4,0,3,0,12
3670,7,5,4,3,23
3674,20,19,11,2,31
3675,15,15,6,3,24
3676,8,4,6,5,31
3694,23,10,10,9,41
3696,2,1,3,0,14
3697,2,0,0,0,8
3699,6,8,4,0,20
3700,3,2,0,1,5
3737,11,6,6,1,27
3740,2,1,1,0,10
3745,5,3,4,0,19
3748,16,12,9,1,20
3749,5,3,4,0,16
3750,12,10,7,1,18
3751,7,7,5,0,7
3753,11,10,5,1,19
3754,19,21,6,13,47
3762,17,14,10,1,34
3763,2,0,0,0,6
3764,3,0,0,0,5
3822,6,2,4,2,22
3823,2,1,2,0,13
3828,16,17,9,1,24
3829,17,15,10,1,28
3831,18,12,7,9,33
3836,15,10,7,2,27
3841,9,3,5,1,19
3850,12,6,6,7,26
3851,14,13,10,6,30
3852,22,9,9,9,37
3853,17,10,7,5,28
3854,13,5,6,8,30
3855,11,5,5,8,27
3865,10,10,7,0,11
3881,13,12,6,1,20
3884,8,4,3,4,15
3889,8,9,7,3,22
3891,7,6,5,0,21
3902,10,5,4,3,17
3904,4,7,7,0,15
3906,10,9,6,5,18
3908,20,16,11,5,28
3909,9,9,4,1,17
3910,13,13,7,1,24
3914,4,2,0,3,6
3915,11,7,1,12,17
3917,6,4,2,2,12
3918,13,12,5,7,24
3919,17,15,6,15,31
3921,6,4,2,2,11
3922,11,12,6,1,16
3923,13,12,9,1,22
3924,10,5,5,0,21
3925,7,6,4,0,16
3927,13,6,9,2,31
3928,12,7,7,2,26
3930,11,5,6,0,26
3933,11,5,6,0,23
3934,7,2,4,0,14
3935,12,4,10,1,23
3972,14,14,8,0,25
3974,11,4,6,0,20
3977,10,9,4,1,14
3979,7,2,4,0,18
3981,2,0,0,0,10
3982,4,1,0,1,11
3984,2,0,0,0,10
3987,3,0,0,0,12
3990,10,7,3,1,21
3993,16,11,7,3,29
3994,4,1,4,0,15
3995,1,0,4,0,10
3996,4,2,4,0,16
3997,20,17,12,10,40
3999,19,12,5,11,42
4002,8,7,5,4,27
4006,12,11,6,0,19
4007,13,18,8,1,21
4008,12,14,9,0,20
4009,20,12,8,14,31
4012,8,2,6,0,18
4013,2,1,1,0,7
4016,5,1,3,0,15
4017,5,0,6,1,18
4018,4,1,6,0,22
4019,11,13,5,0,17
4020,8,9,5,0,13
4021,10,11,6,0,16
4022,15,16,9,1,27
4023,5,1,3,1,20
4024,6,0,5,3,19
4025,4,1,4,0,10
4026,13,7,13,0,25
4027,6,2,5,0,19
4028,3,0,5,0,18
4029,2,0,3,0,12
4032,16,15,10,0,21
4035,8,7,5,0,12
4037,8,7,2,1,13
4038,10,10,6,1,14
4041,16,15,10,1,19
4042,5,5,3,0,5
4043,13,14,9,0,15
4045,4,3,3,0,15
4046,28,21,10,4,43
4048,2,1,2,0,9
4049,5,3,1,0,17
4051,1,1,0,0,7
4052,5,2,1,0,14
4053,6,5,3,0,16
4054,8,9,5,1,18
4055,6,7,3,1,14
4056,11,11,8,0,22
4057,13,12,9,0,22
4058,10,13,7,1,21
4059,7,6,5,1,20
4060,8,9,4,1,18
4061,11,11,8,1,25
4062,5,5,3,1,17
4063,5,6,4,1,19
4064,8,6,3,1,17
4065,16,15,9,1,25
4066,8,4,5,0,22
4104,17,15,12,0,27
4105,15,14,10,0,26
4106,12,11,6,1,12
4108,12,12,6,1,15
4110,15,14,8,1,21
4112,18,18,11,1,24
4114,8,4,5,0,18
4115,9,7,5,1,21
4116,7,3,4,1,21
4118,12,13,7,1,23
4119,15,3,11,0,27
4124,10,8,3,1,21
4125,2,1,3,0,16
4126,16,12,6,10,38
4129,9,2,5,0,23
4133,14,11,9,5,28
4134,2,0,0,0,9
4135,0,0,2,0,7
4136,1,1,2,0,11
4137,0,1,2,0,13
4138,7,6,4,6,22
4139,22,21,16,3,43
4140,1,0,0,0,12
4141,3,2,2,0,18
4151,10,7,3,0,18
4152,9,8,6,0,19
4153,0,0,3,0,15
4154,4,4,3,0,8
4156,5,2,4,0,12
4157,4,1,4,0,13
4158,21,17,11,10,47
4159,7,10,6,0,15
4160,7,5,4,1,22
4167,12,4,8,8,31
4178,12,10,4,1,22
4179,10,11,7,0,15
4180,7,9,3,0,18
4181,3,4,5,0,13
4182,9,4,5,0,21
4183,9,7,5,0,13
4184,8,6,3,0,10
4185,12,13,7,0,19
4186,11,11,7,0,11
4188,14,14,8,1,20
4921,3,9,4,1,12
4923,4,5,3,1,10
4925,3,5,2,0,7
4926,6,7,5,0,13
4928,11,16,5,6,26
4929,6,5,2,2,8
4930,8,8,0,9,18
4931,6,8,0,7,10
4933,7,5,3,0,15
4935,4,7,4,0,13
4938,4,4,2,1,8
4939,4,5,4,0,7
4940,5,11,5,4,14
4941,4,5,3,0,9
4943,5,8,2,0,13
4947,5,10,2,2,15
4954,5,7,0,9,10
4955,5,7,5,0,9
4963,6,10,4,2,16
4965,4,4,0,1,8
4970,4,5,1,1,9
4971,4,9,2,1,13
4975,7,7,6,1,16
4979,5,8,3,3,12
4993,3,6,1,0,8
4995,5,7,3,1,12
4996,4,10,1,2,14
4997,3,5,1,0,9
4999,3,5,3,0,7
5000,2,6,2,1,9
5001,7,16,5,7,19
5004,8,11,0,9,26
5009,7,15,4,8,31
5016,10,19,8,7,36
5022,6,12,3,2,20
5023,13,20,7,3,29
5029,10,18,8,4,27
5036,6,14,6,4,21
5048,9,14,4,5,26
5052,4,12,3,5,17
5053,4,7,2,2,11
5056,7,8,3,0,24
5060,7,7,3,0,12
5061,10,16,5,1,21
5063,6,6,4,2,11
5064,7,9,3,2,12
5065,8,8,4,2,13
5066,8,9,3,1,12
5067,7,11,6,0,15
5068,10,18,4,8,30
5069,8,9,0,0,12
5070,8,11,4,4,15
5071,8,10,2,10,16
5072,3,3,0,7,7
5075,8,9,4,1,12
5076,8,7,3,0,14
5077,9,9,5,0,16
5078,7,8,2,2,13
5079,11,9,4,1,15
5080,11,9,4,1,15
5081,3,2,0,2,6
5082,5,5,0,9,12
5083,7,18,5,7,25
5084,11,21,4,10,28
5085,4,7,0,8,8
5087,11,12,6,2,19
5088,6,9,3,3,14
5091,11,16,2,9,22
5093,5,5,3,2,11
5095,12,8,3,2,17
5097,9,13,4,3,22
5098,7,7,0,6,12
5099,5,7,4,1,9
5100,2,4,0,3,8
5101,9,11,3,2,20
5102,5,4,2,1,9
5103,16,20,6,4,30
5104,10,14,4,3,21
5106,9,11,5,2,16
5107,2,2,4,0,5
5109,9,15,7,2,19
5110,5,5,0,1,10
5113,5,8,1,0,11
5114,8,8,2,2,12
5115,6,8,2,1,13
5116,6,11,6,0,14
5117,9,12,7,8,22
5118,6,3,2,2,10
5119,4,3,0,3,7
5122,9,12,5,2,18
5123,10,16,6,4,23
5126,3,6,2,1,7
5127,9,17,0,16,25
5128,3,4,0,6,9
5130,7,9,4,1,15
5131,12,18,5,6,25
5132,7,8,4,3,12
5133,7,9,4,1,17
5134,6,9,4,0,14
5136,7,7,2,0,14
5137,6,6,3,0,9
5138,10,13,4,0,22
5139,10,9,2,1,18
5141,8,9,5,1,19
5142,16,15,10,1,29
5144,8,5,3,0,9
5145,11,14,7,7,22
5146,4,6,4,0,7
5147,5,4,2,1,11
5148,11,12,7,0,19
5149,7,8,3,2,13
5150,10,13,5,0,19
5151,9,9,3,2,15
5153,10,10,2,5,15
5154,7,8,3,2,14
5156,10,9,3,5,14
5157,7,11,3,2,17
5160,5,4,2,1,10
5161,5,6,2,0,11
5162,7,9,3,1,15
5164,7,6,2,0,14
5165,9,8,2,1,15
5167,11,15,7,0,22
5169,9,10,5,0,15
5176,5,8,4,0,11
5178,6,7,7,0,13
5179,6,10,5,0,16
5180,10,12,5,4,26
